高山智司,47,48729,24.43,希望,元,3,0
梅村早江子,53,39497,19.81,共産,前,1,0
高橋英明,54,15014,7.53,維新,新,0,0
門山宏哲,53,82838,40.69,自民,前,3,1
田嶋要,56,81481,40.03,希望,前,6,0
大野隆,48,24231,11.9,共産,新,0,0
長谷川豊,42,15014,7.38,維新,新,0,0
小林鷹之,42,108964,48.81,自民,前,3,1
樋口博康,58,54035,24.2,立憲,新,0,0
竹ケ原裕美子,46,28878,12.94,希望,新,0,0
上野洋嗣,40,16491,7.39,共産,新,0,0
藤巻健太,34,14885,6.67,維新,新,0,0
松野博一,55,85461,53.27,自民,前,7,1
岡島一正,59,52018,32.42,立憲,元,3,0
櫛渕万里,50,22962,14.31,希望,元,1,0
野田佳彦,60,131024,59.59,無所,前,8,1
木村哲也,48,61804,28.11,自民,新,1,0
深津俊郎,69,14955,6.8,共産,新,0,0
佐藤浩,52,12104,5.5,維新,新,0,0
薗浦健太郎,45,107299,51.02,自民,前,4,1
山田厚史,69,62894,29.91,立憲,新,0,0
岡野純子,39,40115,19.07,希望,新,0,0
渡辺博道,67,76323,43.5,自民,前,7,1
生方幸夫,69,65281,37.21,立憲,元,6,0
遠藤宣彦,54,23701,13.51,希望,元,1,0
星健太郎,37,10145,5.78,維新,新,0,0
斎藤健,58,115731,54.53,自民,前,4,1
石塚貞通,50,51776,24.4,立憲,新,0,0
波多野里奈,44,29706,14.0,希望,新,0,0
渡部隆夫,74,15025,7.08,共産,新,0,0
桜田義孝,67,100115,48.76,自民,前,7,1
太田和美,38,71468,34.81,希望,前,3,0
小野里定良,70,33752,16.44,共産,新,0,0
秋本真利,42,92180,46.79,自民,前,3,1
奥野総一郎,53,76332,38.75,希望,前,4,0
鴨志田安代,62,28488,14.46,共産,新,0,0
林幹雄,70,88398,53.12,自民,前,9,1
谷田川元,54,65256,39.21,希望,元,1,0
笠原正実,63,12758,7.67,共産,新,0,0
森英介,69,103919,59.99,自民,前,10,1
多ケ谷亮,48,45345,26.18,希望,新,0,0
椎名史明,60,23968,13.84,共産,新,0,0
浜田靖一,62,120075,63.35,自民,前,9,1
樋高剛,51,36571,19.29,希望,元,3,0
大西航,36,22182,11.7,共産,新,0,0
皆川真一郎,63,10713,5.65,社民,新,0,0
白須賀貴樹,42,93081,45.84,自民,前,3,1
宮川伸,47,57431,28.28,立憲,新,1,0
水野智彦,61,31887,15.7,希望,元,1,0
斉藤和子,43,20679,10.18,共産,前,1,0
海江田万里,68,96255,40.69,立憲,元,7,1
山田美樹,43,93234,39.41,自民,前,3,0
松沢香,39,40376,17.07,希望,新,0,0
原口実季,28,3806,1.61,諸派,新,0,0
犬丸光加,57,1570,0.66,諸派,新,0,0
又吉光雄,73,1307,0.55,諸派,新,0,0
辻清人,38,112993,45.9,自民,前,3,1
松尾明弘,42,91230,37.06,立憲,新,0,0
鳩山太郎,43,41955,17.04,希望,新,0,0
石原宏高,53,107708,43.58,自民,前,4,1
松原仁,61,94380,38.18,希望,前,7,0
香西克介,41,45088,18.24,共産,新,0,0
平将明,50,115239,50.08,自民,前,5,1
井戸正枝,51,53480,23.24,立憲,元,1,0
難波美智代,43,35352,15.36,希望,新,0,0
青山昂平,26,26037,11.32,共産,新,0,0
若宮健嗣,56,101314,41.15,自民,前,4,1
手塚仁雄,51,99182,40.28,立憲,元,4,0
福田峰之,53,45737,18.57,希望,前,3,0
落合貴之,38,100400,40.81,立憲,前,2,1
越智隆雄,53,98422,40.01,自民,前,4,0
植松恵美子,49,42862,17.42,希望,新,0,0
中岡茉妃,26,4307,1.75,諸派,新,0,0
長妻昭,57,117118,50.52,立憲,前,7,1
松本文明,68,85305,36.8,自民,前,4,0
荒木章博,64,25531,11.01,希望,新,0,0
井上郁磨,26,3850,1.66,無所,新,0,0
石原伸晃,60,99863,39.22,自民,前,10,1
吉田晴美,45,76283,29.96,立憲,新,0,0
木内孝胤,51,41175,16.17,希望,前,2,0
長内史子,29,22399,8.8,共産,新,0,0
円より子,70,11997,4.71,無所,新,0,0
斎藤郁真,29,2931,1.15,諸派,新,0,0
菅原一秀,55,122279,49.17,自民,前,6,1
高松智之,43,64731,26.03,希望,新,0,0
原純子,53,57439,23.1,共産,新,0,0
前田吉成,62,4243,1.71,無所,新,0,0
鈴木隼人,40,91146,37.37,自民,前,2,1
鈴木庸介,41,70168,28.77,立憲,新,0,0
若狭勝,60,57901,23.74,希望,前,2,0
岸良信,62,20828,8.54,共産,新,0,0
小山徹,42,2107,0.86,無所,新,0,0
吉井利光,35,1744,0.72,諸派,新,0,0
下村博文,63,104612,44.9,自民,前,8,1
前田順一郎,42,60291,25.88,立憲,新,0,0
宍戸千絵,39,42668,18.31,希望,新,0,0
小堤東,28,25426,10.91,共産,新,0,0
太田昭宏,72,112597,51.64,公明,前,8,1
池内沙織,35,83544,38.32,共産,前,1,0
中村勝,66,21892,10.04,諸派,新,0,0
鴨下一郎,68,120744,55.23,自民,前,9,1
北條智彦,34,67070,30.68,立憲,新,0,0
祖父江元希,42,30807,14.09,共産,新,0,0
松島みどり,61,104137,46.94,自民,前,6,1
矢作麻子,39,63235,28.5,希望,新,0,0
阿藤和之,46,46600,21.0,共産,新,0,0
清井美穂,54,4282,1.93,諸派,新,0,0
大塚紀久雄,76,3607,1.63,無所,新,0,0
秋元司,46,101155,45.55,自民,前,3,1
柿沢未途,46,70325,31.67,希望,前,4,0
吉田年男,69,34943,15.73,共産,新,0,0
猪野隆,52,15667,7.05,無所,新,0,0
大西英男,71,84457,40.91,自民,前,3,1
初鹿明博,48,71405,34.59,立憲,前,3,0
田村謙治,49,50568,24.5,希望,元,3,0
平沢勝栄,72,127632,57.95,自民,前,8,1
西田主税,55,49485,22.47,希望,新,0,0
新井杉生,58,43138,19.59,共産,新,0,0
菅直人,71,96713,40.73,立憲,前,13,1
土屋正忠,75,95667,40.29,自民,前,3,0
鴇田敦,51,45081,18.98,希望,新,0,0
松本洋平,44,96229,41.14,自民,前,4,1
末松義規,60,90540,38.71,立憲,元,6,0
佐々木里加,50,29743,12.72,希望,新,0,0
杉下茂雄,68,17377,7.43,共産,新,0,0
木原誠二,47,107686,49.89,自民,前,4,1
宮本徹,45,57741,26.75,共産,前,2,0
鹿野晃,44,50439,23.37,希望,新,0,0
長島昭久,55,92356,40.97,希望,前,6,1
小田原潔,53,88225,39.14,自民,前,3,0
小糸健介,35,38195,16.94,社民,新,0,0
天木直人,70,6655,2.95,諸派,新,0,0
伊藤達也,56,110493,43.39,自民,前,8,1
山花郁夫,50,91073,35.76,立憲,元,4,0
金ケ崎絵美,41,30236,11.87,希望,新,0,0
阿部真,43,22859,8.98,共産,新,0,0
小倉将信,36,110522,44.95,自民,前,3,1
伊藤俊輔,38,76450,31.09,希望,新,1,0
松村亮佑,37,58929,23.96,共産,新,0,0
萩生田光一,54,122331,49.32,自民,前,5,1
高橋斉久,44,61441,24.77,立憲,新,0,0
吉羽美華,37,39892,16.08,希望,新,0,0
飯田美弥子,57,24349,9.82,共産,新,0,0
井上信治,48,112014,51.81,自民,前,6,1
山下容子,58,44884,20.76,立憲,新,0,0
小沢鋭仁,63,38286,17.71,希望,前,8,0
井上宣,43,21031,9.73,共産,新,0,0
松本純,67,103070,47.82,自民,前,7,1
篠原豪,42,78019,36.2,立憲,前,2,0
長島一由,50,34433,15.98,希望,元,1,0
菅義偉,68,123218,57.11,自民,前,8,1
高橋野枝,43,47191,21.87,立憲,新,0,0
橋本久美,48,28635,13.27,希望,新,0,0
大貫清文,60,16699,7.74,共産,新,0,0
小此木八郎,52,101157,50.22,自民,前,8,1
勝又恒一郎,54,46284,22.98,希望,元,1,0
伊藤久美子,57,26314,13.07,無所,新,0,0
釘丸進,44,23476,11.66,共産,新,0,0
壹岐愛子,32,4177,2.07,諸派,新,0,0
早稲田夕季,58,67020,34.76,立憲,新,1,1
山本朋広,42,55700,28.89,自民,前,4,0
浅尾慶一郎,53,51495,26.7,無所,前,3,0
風間法子,47,18618,9.65,希望,新,0,0
坂井学,52,120068,51.61,自民,前,4,1
吉岡憲史,39,67085,28.84,希望,新,0,0
横山征吾,46,45497,19.56,共産,新,0,0
青柳陽一郎,48,86291,44.59,立憲,前,3,1
上田勇,59,82788,42.78,公明,前,7,0
串田誠一,59,24424,12.62,維新,新,1,0
鈴木馨祐,40,103324,47.0,自民,前,4,1
中谷一馬,34,87819,39.95,立憲,新,1,0
川野案,35,28685,13.05,希望,新,0,0
江田憲司,61,119280,54.18,無所,前,6,1
三谷英弘,41,74119,33.67,自民,元,2,0
加藤リカ,45,21241,9.65,共産,新,0,0
大西恒樹,53,5518,2.51,諸派,新,0,0
笠浩史,52,72531,41.3,希望,前,6,1
中山展宏,49,70819,40.32,自民,前,3,0
斉藤温,26,32290,18.38,共産,新,0,0
田中和徳,68,113824,51.46,自民,前,8,1
市川佳子,53,58053,26.25,希望,新,0,0
畑野君枝,60,49305,22.29,共産,前,2,0
小泉進次郎,36,154761,78.02,自民,前,4,1
瀬戸和弘,65,21874,11.03,共産,新,0,0
真白リョウ,41,18583,9.37,希望,新,0,0
圷孝行,67,3133,1.58,諸派,新,0,0
阿部知子,69,86550,43.2,立憲,前,7,1
星野剛士,54,83924,41.89,自民,前,3,0
原輝雄,43,29852,14.9,希望,新,0,0
甘利明,68,127214,56.14,自民,前,12,1
太栄志,40,62779,27.7,希望,新,0,0
岡崎裕,39,36627,16.16,共産,新,0,0
赤間二郎,49,105953,46.48,自民,前,4,1
本村賢太郎,47,94348,41.39,希望,前,3,0
中野渡旬,69,27640,12.13,共産,新,0,0
河野太郎,54,159647,67.63,自民,前,8,1
佐々木克己,62,38242,16.2,社民,新,0,0
乃木涼介,53,38162,16.17,希望,新,0,0
義家弘介,46,110508,46.91,自民,前,3,1
後藤祐一,48,96128,40.81,希望,前,4,0
池田博英,54,28927,12.28,共産,新,0,0
牧島かれん,40,117003,51.27,自民,前,3,1
神山洋介,42,83407,36.55,希望,前,2,0
横田英司,59,27798,12.18,共産,新,0,0
山際大志郎,49,111285,51.14,自民,前,5,1
三村和也,42,66057,30.36,希望,元,1,0
若林靖久,32,40252,18.5,共産,新,0,0
西村智奈美,50,128045,53.11,立憲,前,5,1
石崎徹,33,113045,46.89,自民,前,3,0
鷲尾英一郎,40,97808,51.6,無所,前,5,1
細田健一,53,81705,43.1,自民,前,3,0
五十嵐健彦,37,10055,5.3,共産,新,0,0
黒岩宇洋,51,95644,49.15,無所,前,3,1
斎藤洋明,40,95594,49.12,自民,前,3,0
三村誉一,71,3375,1.73,無所,新,0,0
菊田真紀子,47,112600,56.27,無所,前,6,1
金子恵美,39,87524,43.73,自民,前,2,0
泉田裕彦,55,91855,51.82,自民,新,1,1
大平悦子,61,79655,44.94,無所,新,0,0
笠原麗香,25,5735,3.24,諸派,新,0,0
高鳥修一,57,94292,50.59,自民,前,4,1
梅谷守,43,92080,49.41,無所,新,0,0
田畑裕明,44,74876,59.16,自民,前,3,1
吉田豊史,47,38219,30.2,維新,前,1,0
青山了介,42,13471,10.64,共産,新,0,0
宮腰光寛,66,94086,74.42,自民,前,8,1
山崎彰,67,32348,25.58,社民,新,0,0
橘慶一郎,56,140803,63.87,自民,前,4,1
柴田巧,56,62066,28.15,希望,新,0,0
坂本洋史,47,17576,7.97,共産,新,0,0
馳浩,56,112168,59.08,自民,前,7,1
田中美絵子,41,61541,32.41,希望,元,1,0
黒崎清則,69,16152,8.51,共産,新,0,0
佐々木紀,43,118421,62.33,自民,前,3,1
柴田未来,46,58164,30.62,希望,新,0,0
